root,root_label,subbranch,subbranch_label,depth,term_count,usable_count,sample_terms,would_be_facet,guardrail_conflict
3094,11) Povolání a pracovní činnosti / Professions and work activities,3095,kult / cult,2,92,92,Starec; abatyše; alžbětinky; arcibiskup; augustiniáni; augustiniáni kanovníci; augustiniánky; bakchantky; benediktini; benediktinky,,False
3094,11) Povolání a pracovní činnosti / Professions and work activities,3447,těžba / extraction,2,68,68,dějiny hornictví; dřevorubec; hornictví; horník; ložiska; ložisko břidlice; ložisko cínu; ložisko fosfátů; ložisko grafitu; ložisko hnědého uhlí,,False
3094,11) Povolání a pracovní činnosti / Professions and work activities,3196,"pěstování plodin, chov a lov / crop production, breeding and hunting",2,38,38,chov domácích zvířat; drůbež; dějiny myslivosti; dějiny zemědělství; extenzivní zemědělství; koza; kočovník; kůň; lesní hospodářství; lov ptáků,,False
3094,11) Povolání a pracovní činnosti / Professions and work activities,3515,válečnictví / art of war,2,35,35,anexe; armáda; bitva; bojovník; branec; casus belli; dělostřelectvo; filozofie války; jezdectvo; jízdní lučistníci,,False
3094,11) Povolání a pracovní činnosti / Professions and work activities,3424,"správa, písemnictví / administration, literature",2,26,26,církevní poplatky; církevní správa; daně; desátek; konšel; kronikář; kronikářka; kronikářství; lokátor; městská pečeť,,False
3094,11) Povolání a pracovní činnosti / Professions and work activities,3182,obchod / trade,2,14,14,dálkový obchod; dějiny obchodu; mýtné; námořní doprava; námořní obchod; obchod; obchodnice; obchodní společnost; obchodní stezka; obchodní vztahy,,False
3549,12) Společnost / Society,3621,sociálni stratifikace / social stratification,2,37,37,aristokracie; buržoazie; duchovenstvo; dělnictvo; ekonomická elita; elita; kasta; konkrétní (společenské třídy); kurfiřt; markrabě,,False
3549,12) Společnost / Society,3658,sociální systém / social system,2,29,29,absolutismus; absolutní monarchie; císařství; demokracie; despotismus; diktatura; diktatura proletariátu; feudalismus; gerontokracie; knížectví,,False
3549,12) Společnost / Society,3567,písmo / script,2,25,25,arabské písmo; aramejské písmo; arménské písmo; azbuka (písmo); cyrilice; fraktura (písmo); gruzínské písmo; hebrejské písmo; hieratické písmo; hieroglyfy,,False
3549,12) Společnost / Society,3550,obecná hesla (společnost) / general entries (society),2,17,17,barter; dar; distribuční mapa; dělba práce; komunita (sociologie); obecná hesla (společnost); reciprocita; sociální identita; sociální mobilita; sociální nerovnost,,False
3549,12) Společnost / Society,3592,právní institut / legal institute,2,16,16,inkolát; landfrýd; léno; nevolnictví; nobilitace; nástupnické právo; odúmrtní právo; ordál; otroctví; pacht,,False
3549,12) Společnost / Society,3608,právo / law,2,13,13,církevní právo; horní právo; horní regál; lenní právo; magdeburské právo; městské právo; občanské právo; právo; zemské právo; zvykové právo,,False
3549,12) Společnost / Society,3687,společnosti / societies,2,11,11,dvorská společnost; industriální společnost; lovci mamutů; lovecko-sběračská společnost; moderní společnost; orientální civilizace; pravěká společnost; společnosti; starověká civilizace; středověká společnost,,False
