cs,en,facet,source,source_id,doc_count,occurrences,example_lines
aurignacien,Aurignacian,Chronology,amcr,HES-000262,0,0,
balista,ballista,Artefact,teater,1977,0,0,
bankovka,paper money,Artefact,amcr,HES-000650,0,0,
barbiton,barbiton,Artefact,teater,1828,0,0,
barvivo,colourant,Material,amcr,HES-000903,0,0,
bastion,bastion,Feature,teater,1620,0,0,
bastion/reduta,bastion/redoubt,Feature,amcr,HES-000468,0,0,
bavlna,cotton,Material,teater,2434,0,0,
bazilika,basilica,Activity Area,teater,1334,0,0,
bašta,wall tower,Feature,amcr,HES-000528,0,0,
bergfrit,keep,Feature,teater,1622,0,0,
bible,bible,Artefact,teater,2217,0,0,
biga,biga,Artefact,teater,1915,0,0,
bioarcheologie,bioarchaeology,Methods,amcr,HES-001439,0,0,
biografie,biography,Artefact,teater,2188,0,0,
bohunicien,Bohunician,Chronology,amcr,HES-000261,0,0,
boj,fighting activity,Activity Area,amcr,HES-000008,0,0,
borka,bark,Material,teater,2435,0,0,
brakteát,bracteate,Artefact,teater,2279,0,0,
breviář,breviary,Artefact,teater,2221,0,0,
bronteion,bronteion,Feature,teater,1484,0,0,
brož,brooch,Artefact,teater,2377,0,0,
brusle,ice skate,Artefact,amcr,HES-000743,0,0,
brána,gate,Feature,amcr,HES-000529,0,0,
bucchero,bucchero,Material,teater,2465,0,0,
budova/stavba,building/structure,Feature,amcr,HES-000438,0,0,
budík,alarm clock,Artefact,teater,2089,0,0,
bulava,club,Artefact,amcr,HES-000785,0,0,
bulla,bulla,Artefact,teater,2378,0,0,
burgus,burgus,Feature,teater,1625,0,0,
búleutérion,bouleuterion,Feature,teater,1553,0,0,
břitva,razor,Artefact,amcr,HES-000661,0,0,
calceus,calceus,Artefact,teater,2323,0,0,
caliga,caliga,Artefact,teater,2324,0,0,
carcer,carcer,Feature,teater,1567,0,0,
castellum,castellum,Activity Area,teater,1292,0,0,
cedník,colander,Artefact,amcr,HES-000682,0,0,
cella,cella,Feature,teater,1713,0,0,
cesta,roads,Feature,amcr,HES-000048,0,0,
cestopis,travelogue,Artefact,teater,2189,0,0,
chalcedon,chalcedony,Material,teater,2447,0,0,
chata,hut,Feature,teater,1519,0,0,
chitón,chiton,Artefact,teater,2170,0,0,
chlaina,chlaina,Artefact,teater,2171,0,0,
chlamys,chlamys,Artefact,teater,2172,0,0,
chléb,bread,Artefact,teater,2410,0,0,
chlév,animal shed,Feature,teater,1520,0,0,
chodba,corridor,Feature,amcr,HES-000494,0,0,
chrlič,gargoyle,Artefact,teater,1799,0,0,
chrám,temple,Activity Area,teater,3865,0,0,
chytra,khytra,Artefact,teater,2042,0,0,
cirkus,circus,Feature,teater,1492,0,0,
cista,cista,Artefact,teater,2035,0,0,
cisterna,cistern,Feature,amcr,HES-000445,0,0,
colonia,colonia,Activity Area,teater,1353,0,0,
commentarius,commentarii,Artefact,teater,2190,0,0,
cornu,cornu,Artefact,teater,1829,0,0,
corona,corona,Artefact,teater,2361,0,0,
corpus,text corpus,Artefact,teater,2191,0,0,
cukr,sugar,Artefact,teater,2408,0,0,
cymbál,cymbal,Artefact,teater,1830,0,0,
cypřiš,Cupressus,Material,teater,2444,0,0,
cín,tin,Material,amcr,HES-000921,0,0,
dehet,tar,Material,amcr,HES-000922,0,0,
dehtárna,tar kiln,Activity Area,amcr,HES-000079,0,0,
dekret,decree,Artefact,teater,2254,0,0,
dendrochronologie,dendrochronology,Methods,amcr,HES-000609,0,0,
denár,denarius,Artefact,teater,2282,0,0,
deník,Diary,Artefact,teater,3733,0,0,
deponování,deposition activity,Activity Area,amcr,HES-000007,0,0,
devocionálie,devotional object,Artefact,teater,2367,0,0,
diamant,diamond,Material,teater,2439,0,0,
diatessaron,diatessaron,Artefact,teater,2222,0,0,
diazóma,diazoma,Feature,teater,1485,0,0,
didaché,didache,Artefact,teater,2223,0,0,
dipteros,dipteros,Activity Area,teater,1308,0,0,
diptychon,diptych,Artefact,teater,2246,0,0,
divadlo,theatre,Feature,teater,1493,0,0,
dlažba,pavement,Feature,teater,1580,0,0,
dlaždice,floor tile,Artefact,amcr,HES-000678,0,0,
dláto,chisel,Artefact,amcr,HES-000824,0,0,
dláždění,pavement,Feature,amcr,HES-000492,0,0,
dolmen,dolmen,Feature,teater,1651,0,0,
dopis,letter,Artefact,teater,2201,0,0,
doprava,transportation,Artefact,teater,1895,0,0,
drachma,drachma,Artefact,teater,2283,0,0,
drasadlo,side scraper,Artefact,amcr,HES-000715,0,0,
drtidlo,grindstone,Artefact,teater,2094,0,0,
drtidlo/zrnotěrka,handstone/saddle quern,Artefact,amcr,HES-000795,0,0,
druhohory,mesozoic,Chronology,teater,1054,0,0,
drát,wire,Artefact,amcr,HES-000782,0,0,
dukát,ducat,Artefact,teater,2284,0,0,
dvorec,manorial farm,Activity Area,teater,1425,0,0,
dvorec/dvůr,curia/manorial farm,Activity Area,amcr,HES-000014,0,0,
dvůr,court,Activity Area,teater,1426,0,0,
dyzna,nozzle,Artefact,amcr,HES-000689,0,0,
dáreikos,dareikos,Artefact,teater,2281,0,0,
dílna,workshop,Feature,teater,1761,0,0,
dóm,duomo,Activity Area,teater,3864,0,0,
dýka,dagger,Artefact,amcr,HES-000820,0,0,
dýmačka,fuming blast-furnace,Feature,teater,1691,0,0,
dýmka,pipe,Artefact,amcr,HES-000635,0,0,
dřevo,wood,Material,amcr,HES-000923,0,0,
dřevořezba,woodcarving,Artefact,teater,1815,0,0,
džbán,jug,Artefact,amcr,HES-000636,0,0,
echínos,echinus,Artefact,teater,1797,0,0,
efémeris,ephemeris,Artefact,teater,2192,0,0,
ekkykléma,ekkyklema,Feature,teater,1486,0,0,
ekofakt,ecofact,Artefact,amcr,HES-000775,0,0,
elektron,electrum,Material,teater,2480,0,0,
elogium,elogium,Feature,teater,1653,0,0,
empora,matroneum,Feature,teater,1581,0,0,
eneolit,Eneolithic,Chronology,amcr,HES-000285,0,0,
enkaustika,encaustic painting,Artefact,teater,1854,0,0,
enkolpión,engolpion,Artefact,teater,3862,0,0,
entasis,entasis,Feature,teater,1603,0,0,
epanagoge,epanagoge,Artefact,teater,2193,0,0,
epigravettien,Epigravettian,Chronology,amcr,HES-000263,0,0,
epimagdalenien,epimagdalenian,Chronology,teater,1096,0,0,
epimagdalénien,Epimagdalenian,Chronology,amcr,HES-000265,0,0,
epitaf,epitaph,Artefact,teater,2312,0,0,
ergastulum,ergastulum,Feature,teater,1763,0,0,
ergastérion,ergasterion,Feature,teater,1762,0,0,
essedum,essedum,Artefact,teater,1913,0,0,
evangeliář,evangeliary,Artefact,teater,2224,0,0,
exedra,exedra,Feature,teater,1505,0,0,
exegeze,exegesis,Artefact,teater,2194,0,0,
exómis,exomis,Artefact,teater,2168,0,0,
fajáns,faience,Material,teater,2452,0,0,
faléra,phalera,Artefact,amcr,HES-000745,0,0,
fara,rectory,Feature,teater,1513,0,0,
fasces,fasces,Artefact,teater,2365,0,0,
fialé,phiale,Artefact,teater,2039,0,0,
florén,florin,Artefact,teater,2285,0,0,
fontána,fountain,Feature,teater,1609,0,0,
forminx,phorminx,Artefact,teater,1831,0,0,
freska,frescoe,Artefact,teater,1824,0,0,
fórum,forum,Activity Area,teater,1470,0,0,
garum,garum,Artefact,teater,2409,0,0,
gem,gemstone,Artefact,teater,2381,0,0,
gemma,gem,Artefact,amcr,HES-000731,0,0,
geoarcheologie,geoarchaeology,Methods,amcr,HES-000613,0,0,
geochemie,geochemistry,Methods,amcr,HES-000615,0,0,
geochronologie,geochronology,Methods,amcr,HES-001442,0,0,
geofyzika,geophysics,Methods,amcr,HES-000614,0,0,
geomorfologie,geomorphology,Methods,amcr,HES-001443,0,0,
geranos,mechane,Artefact,teater,2095,0,0,
glosář,glossary,Artefact,teater,2195,0,0,
gombík,spherical button,Artefact,amcr,HES-000693,0,0,
graduál,gradual,Artefact,teater,2225,0,0,
graffito,graffiti,Artefact,teater,1825,0,0,
grafit,graphite,Material,amcr,HES-000924,0,0,
gravettien,Gravettian,Chronology,amcr,HES-000311,0,0,
gravimetrie,gravimetry,Methods,teater,134,0,0,
grešle,groschen,Artefact,teater,2286,0,0,
groma,groma,Artefact,teater,2096,0,0,
grotta,grotto,Feature,teater,1683,0,0,
guttae,guttae,Artefact,teater,1798,0,0,
gymnasion,gymnasium,Feature,teater,1514,0,0,
hagiografie,hagiography,Artefact,teater,2226,0,0,
haltýř,spring house,Feature,amcr,HES-000478,0,0,
hamr,hammer mill,Feature,amcr,HES-000545,0,0,
harfa,harp,Artefact,teater,1832,0,0,
harpuna,harpoon,Artefact,teater,1988,0,0,
hať,corduroy road,Feature,amcr,HES-000521,0,0,
hedvábí,silk,Material,teater,2446,0,0,
hekatompedon,hekatompedon temple,Activity Area,teater,1309,0,0,
hermovka,herma,Artefact,teater,1890,0,0,
himation,himation,Artefact,teater,2169,0,0,
hipodrom,hippodrome,Feature,teater,1516,0,0,
hladítko,smoother,Artefact,amcr,HES-000825,0,0,
hliník,clay pit,Feature,amcr,HES-000512,0,0,
hlušina,gangue,Artefact,teater,1938,0,0,
hodina,hour,Artefact,teater,2099,0,0,
hodiny,clock,Artefact,teater,2098,0,0,
hodometr,hodometron,Artefact,teater,2100,0,0,
holocén,holocene,Chronology,teater,1063,0,0,
hostinec,inn,Feature,teater,1518,0,0,
hračka,toy,Artefact,teater,1966,0,0,
hrnec,pot,Artefact,amcr,HES-000768,0,0,
hrobka,tomb,Feature,amcr,HES-000430,0,0,
hrot/hák,spike/hook,Artefact,amcr,HES-000783,0,0,
hrádek,fortified manor,Activity Area,teater,1428,0,0,
hráz,embankment/dam,Feature,amcr,HES-000493,0,0,
hydria,hydria,Artefact,teater,2041,0,0,
hák,hook,Artefact,teater,1957,0,0,
héróon,heroon,Activity Area,teater,1310,0,0,
hřbitov,cemetery,Activity Area,teater,1408,0,0,
hřeb,spike,Artefact,teater,2342,0,0,
hřeb/hřebík/nýt,nail/rivet,Artefact,amcr,HES-000679,0,0,
hřeben,comb,Artefact,amcr,HES-000826,0,0,
hřebík,nail,Artefact,teater,2341,0,0,
hřivna,ingot,Artefact,amcr,HES-000829,0,0,
idól,idol,Artefact,teater,1819,0,0,
ikona,icon,Artefact,teater,1855,0,0,
impluvium,impluvium,Feature,teater,1506,0,0,
ingot,ingot,Artefact,teater,2304,0,0,
insignie,insignia,Artefact,teater,2364,0,0,
insula,insula,Feature,teater,1498,0,0,
intruze,intrusion,Activity Area,amcr,HES-000010,0,0,
itinerář,itinerarium,Artefact,teater,2196,0,0,
jadeit,jadeite,Material,teater,2440,0,0,
jantar,amber,Material,amcr,HES-000926,0,0,
jaspis,jasper,Material,teater,2449,0,0,
jatka,slaughterhouse,Feature,teater,1522,0,0,
jehelník,pincushion,Artefact,teater,2103,0,0,
jehla,needle,Artefact,teater,2104,0,0,
jehla/špendlík,needle/pin,Artefact,amcr,HES-000804,0,0,
jeskyně,cave,Feature,teater,1682,0,0,
ječmen,barley,Artefact,teater,1927,0,0,
jídlo,food,Artefact,teater,2411,0,0,
jíl,loam,Material,teater,2455,0,0,
kabeirion,cabeirion,Activity Area,teater,1312,0,0,
kadlub,mold,Artefact,amcr,HES-000716,0,0,
kalich,goblet,Artefact,teater,2043,0,0,
kalvárie,calvary,Activity Area,teater,1324,0,0,
kamej,cameo,Artefact,teater,2384,0,0,
kamenina,stoneware,Material,teater,2456,0,0,
kamenolom,stone quarry,Activity Area,teater,1465,0,0,
kamna,stove,Feature,amcr,HES-000422,0,0,
kanalizace,sewer,Feature,amcr,HES-000464,0,0,
kancionál,hymnal,Artefact,teater,2228,0,0,
kanelura,fluting,Feature,teater,1604,0,0,
kanopa,canopic jars,Artefact,teater,2044,0,0,
kantharos,kantharos,Artefact,teater,2045,0,0,
kanál/náhon,channel/millrace,Activity Area,amcr,HES-000053,0,0,
kapitula,chapter house,Activity Area,teater,1327,0,0,
kaple,chapel,Feature,amcr,HES-000020,0,0,
kaptorga,kaptorga (metal pendant case),Artefact,amcr,HES-000700,0,0,
karroballista,carroballista,Artefact,teater,1978,0,0,
kasie,casia,Artefact,teater,2412,0,0,
kasárna,barracks,Activity Area,teater,1449,0,0,
katakomby,catacombs,Feature,teater,1775,0,0,
katedrála,cathedral,Activity Area,teater,1336,0,0,
kačkar,khachkar,Activity Area,teater,1326,0,0,
kašna,fountain,Feature,amcr,HES-000479,0,0,
kenotaf,cenotaph,Artefact,teater,2314,0,0,
kenozoikum,cenozoic,Chronology,teater,1055,0,0,
keras,keras,Artefact,teater,1833,0,0,
kithara,kithara,Artefact,teater,1834,0,0,
kladivo,hammer,Artefact,teater,2109,0,0,
kladivo/palice,hammer/sledgehammer,Artefact,amcr,HES-000796,0,0,
klenba,vaults,Feature,amcr,HES-000495,0,0,
klobouk,hat,Artefact,teater,2173,0,0,
klín,wedge,Artefact,amcr,HES-000717,0,0,
klíné,kline,Artefact,teater,2024,0,0,
klíč,key,Artefact,amcr,HES-000728,0,0,
kniha,book,Artefact,amcr,HES-000840,0,0,
knihovna,library,Feature,teater,1524,0,0,
knoflík,button,Artefact,amcr,HES-000675,0,0,
koberec,carpet,Artefact,teater,2025,0,0,
koflík,cup,Artefact,amcr,HES-000769,0,0,
kolektor,collector,Feature,amcr,HES-000516,0,0,
kolumbárium,columbarium,Feature,teater,1661,0,0,
komenda,commandery,Activity Area,teater,1450,0,0,
kompendium,compendium,Artefact,teater,2199,0,0,
komunikace,transportation activity,Activity Area,amcr,HES-000006,0,0,
konference,conference,Location & Admin,amcr,HES-001152,0,0,
konvice,pitcher,Artefact,amcr,HES-000690,0,0,
konzervace,conservation,Methods,teater,210,0,0,
konírna,horse barn,Feature,teater,1526,0,0,
kopiář,copybook,Artefact,teater,2258,0,0,
kopí,spear,Artefact,teater,1996,0,0,
korespondence,correspondence,Artefact,teater,2200,0,0,
koroplastika,greek terracotta figurine,Artefact,teater,1820,0,0,
koroze,corrosion,Methods,teater,216,0,0,
korál,coral,Material,amcr,HES-000938,0,0,
korálek,bead,Artefact,amcr,HES-000663,0,0,
koré,kore,Artefact,teater,1891,0,0,
kosa,scythe,Artefact,amcr,HES-000798,0,0,
kostnice,ossuary,Feature,amcr,HES-000432,0,0,
kotel,cauldron (kotel/Kessel),Artefact,teater,2048,0,0,
kotel/kotlík,kettle,Artefact,amcr,HES-000770,0,0,
kotlík,cauldron (kotlík/Becken),Artefact,teater,2049,0,0,
kotylé,kotyle,Artefact,teater,2050,0,0,
kov,metal,Material,amcr,HES-000907,0,0,
kovadlina,anvil,Artefact,amcr,HES-000654,0,0,
kování,mount,Artefact,amcr,HES-000694,0,0,
kovárna,blacksmith,Feature,amcr,HES-000546,0,0,
koření,spice,Artefact,teater,2413,0,0,
kožešina,fur,Material,teater,2490,0,0,
krb,fireplace,Feature,teater,1507,0,0,
krejcar,kreuzer,Artefact,teater,2287,0,0,
krev,blood,Artefact,teater,1923,0,0,
kromlech,cromlech,Activity Area,teater,1346,0,0,
kronika,chronicle,Artefact,teater,2202,0,0,
kroužek/kruh,circle/ring,Artefact,amcr,HES-000764,0,0,
krov,truss,Feature,teater,1586,0,0,
krumlovien,Krumlovian,Chronology,amcr,HES-000314,0,0,
krumpáč,pickaxe,Artefact,teater,2114,0,0,
kružba,tracery,Feature,teater,1717,0,0,
krypta,crypt,Feature,teater,1663,0,0,
kryptoportikus,cryptoporticus,Feature,teater,1587,0,0,
krám,shop,Feature,teater,1527,0,0,
krátér,krater,Artefact,teater,2051,0,0,
kulička,marble,Artefact,teater,1961,0,0,
kulička/koule,ball/sphere,Artefact,amcr,HES-000760,0,0,
kurhan,kurgan,Feature,teater,1664,0,0,
kurvatura,curvature,Artefact,teater,1800,0,0,
kuše,crossbow,Artefact,amcr,HES-000822,0,0,
kyathos,kyathos,Artefact,teater,2053,0,0,
kylix,kylix,Artefact,teater,2054,0,0,
kázání,sermon,Artefact,teater,2229,0,0,
kúros,kouros,Artefact,teater,1892,0,0,
křemen,quartz,Material,teater,2491,0,0,
křemenec,quartzite,Material,teater,2492,0,0,
křesadlo,strike a light,Artefact,teater,2115,0,0,
křesadlo/ocílka,firesteel,Artefact,amcr,HES-000729,0,0,
křišťál,quartz crystal,Material,teater,2493,0,0,
křtitelnice,baptismal font,Feature,amcr,HES-000499,0,0,
křížek,cross,Artefact,amcr,HES-000664,0,0,
kůl/sloup,stake/post,Feature,amcr,HES-000447,0,0,
kůra,bark,Material,amcr,HES-000940,0,0,
kůže,leather,Material,amcr,HES-000909,0,0,
lahev,bottle,Artefact,amcr,HES-000691,0,0,
lampa,lamp,Artefact,teater,2056,0,0,
lampa/kahan,lamp/burner,Artefact,amcr,HES-000695,0,0,
lastura,shell,Material,teater,2496,0,0,
lebés,lebes,Artefact,teater,2057,0,0,
len,linen,Material,teater,2497,0,0,
lesché,lesche,Feature,teater,1499,0,0,
letopisy,annals,Artefact,teater,2210,0,0,
leták,leaflet,Artefact,teater,2209,0,0,
liber,libellus,Artefact,teater,2211,0,0,
libum,libum,Artefact,teater,2417,0,0,
listina,deed,Artefact,amcr,HES-000670,0,0,
lituus,lituus,Artefact,teater,1837,0,0,
loch,larder (cellar),Feature,amcr,HES-000487,0,0,
lopata,shovel,Artefact,teater,2117,0,0,
lopata/rýč,shovel/spade,Artefact,amcr,HES-000655,0,0,
loď,ship,Artefact,teater,1905,0,0,
lyceum,lyceum,Feature,teater,1529,0,0,
lyra,lyre,Artefact,teater,1838,0,0,
láhev,bottle,Artefact,teater,2055,0,0,
lázně,spa,Activity Area,teater,1269,0,0,
léky,medicine,Artefact,teater,2416,0,0,
lékythos,lekythos,Artefact,teater,2058,0,0,
léčiva,medication,Artefact,teater,2415,0,0,
lútroforos,loutrophoros,Artefact,teater,2059,0,0,
lžíce,spoon,Artefact,amcr,HES-000730,0,0,
maenianum,maenianum,Feature,teater,1508,0,0,
magdalénien,Magdalenian,Chronology,amcr,HES-000283,0,0,
magnetometr,magnetometer,Methods,teater,136,0,0,
magnetometrie,magnetometry,Methods,teater,135,0,0,
majolika,maiolica,Material,teater,2471,0,0,
maják,lighthouse,Feature,teater,1530,0,0,
makrozbytky,macroremains,Material,teater,2498,0,0,
malakofauna,mollusca,Artefact,amcr,HES-000777,0,0,
malba,painting,Artefact,teater,1850,0,0,
malba/freska,painting/fresco,Feature,amcr,HES-000540,0,0,
mamutovina,mammoth ivory,Material,teater,2500,0,0,
maska,mask,Artefact,teater,1874,0,0,
maskaron,mascaron,Artefact,teater,1801,0,0,
matrika,birth register,Artefact,teater,2264,0,0,
mauzoleum,mausoleum,Feature,teater,1665,0,0,
meander,meander,Feature,teater,1684,0,0,
med,honey,Artefact,teater,2418,0,0,
medaile,medal,Artefact,teater,2362,0,0,
medailon,medallion,Artefact,teater,2389,0,0,
medovina,mead,Artefact,teater,2419,0,0,
megaron,megaron,Feature,teater,1500,0,0,
menhir,menhir,Feature,amcr,HES-000500,0,0,
mensa,mensa,Artefact,teater,2119,0,0,
meta,meta,Feature,teater,1589,0,0,
metalografie,metallography,Methods,amcr,HES-000630,0,0,
metopa,metope,Artefact,teater,1802,0,0,
metropole,metropolis,Activity Area,teater,1390,0,0,
mezník/patník,milestone/boundary stone,Feature,amcr,HES-000522,0,0,
mezolit,Mesolithic,Chronology,amcr,HES-000275,0,0,
meč,sword,Artefact,amcr,HES-000786,0,0,
mešita,mosque,Activity Area,teater,1344,0,0,
micoquien,Micoquien,Chronology,amcr,HES-000292,0,0,
mikrosondáž,shovel test,Methods,teater,113,0,0,
mikrostratigrafie,microstratigraphy,Methods,amcr,HES-001444,0,0,
militaria,weapons and armour,Artefact,amcr,HES-000784,0,0,
milíř,charcoal kiln,Feature,amcr,HES-000554,0,0,
milířiště,charcoal kiln,Activity Area,amcr,HES-000029,0,0,
minaret,minaret,Feature,teater,1720,0,0,
mincovna,mint,Feature,teater,1766,0,0,
misál,missal,Artefact,teater,2231,0,0,
mitra,mitra,Artefact,teater,2320,0,0,
mlýn,mill,Feature,amcr,HES-000028,0,0,
mohylník,barrow cemetery,Activity Area,teater,1410,0,0,
monastýr,monastery (Eastern Orthodox Church),Activity Area,teater,1383,0,0,
monochord,monochord,Artefact,teater,1839,0,0,
monopteros,monopteros,Activity Area,teater,1314,0,0,
monoxyl,logboat,Artefact,teater,1898,0,0,
moretum,moretum,Artefact,teater,2421,0,0,
mosaz,brass,Material,amcr,HES-000913,0,0,
most/brod,bridge/ford,Activity Area,amcr,HES-000049,0,0,
motte,motte,Feature,amcr,HES-000531,0,0,
motyka,hoe,Artefact,teater,2157,0,0,
motyka/krumpáč,mattock/pickaxe,Artefact,amcr,HES-000799,0,0,
moustérien,Mousterian,Chronology,amcr,HES-000312,0,0,
mozaika,mosaic,Artefact,teater,1875,0,0,
mramor,marble,Material,teater,2508,0,0,
mulsum,mulsum,Artefact,teater,2422,0,0,
mumie,mummy,Artefact,teater,1925,0,0,
municipium,municipium,Activity Area,teater,1396,0,0,
muzeum/skanzen,museum/open-air museum,Activity Area,amcr,HES-000129,0,0,
měkkýš,Mollusca,Material,teater,2502,0,0,
městečko,small town,Activity Area,teater,1445,0,0,
měď,copper,Material,amcr,HES-000912,0,0,
narthex,narthex,Feature,teater,1722,0,0,
navážka,backfill,Feature,amcr,HES-000457,0,0,
nekrologium,necrology,Artefact,teater,2235,0,0,
nemocnice,hospital,Feature,teater,1536,0,0,
neogén,neogene,Chronology,teater,1058,0,0,
neolit,Neolithic,Chronology,amcr,HES-000267,0,0,
neolit-eneolit,neolithic-eneolithic,Chronology,teater,1100,0,0,
neolit–eneolit,Neolithic–Eneolithic,Chronology,amcr,HES-000387,0,0,
nevěstinec,brothel,Feature,teater,1537,0,0,
neznámý,unknown,Methods,amcr,HES-000601,0,0,
nika,niche,Feature,amcr,HES-000448,0,0,
nikl,nickel,Material,teater,2484,0,0,
noviny,newspaper,Artefact,teater,2236,0,0,
novověk,Modern Period,Chronology,amcr,HES-000252,0,0,
numismatika,numismatics,Methods,amcr,HES-000623,0,0,
nymfeum,nymphaeum,Feature,teater,1618,0,0,
nábytek,furniture,Artefact,teater,2023,0,0,
nádrž,reservoir,Feature,teater,1778,0,0,
náholenice,greave,Artefact,teater,2014,0,0,
náhon,millrace,Feature,amcr,HES-000513,0,0,
náhrobek,gravestone,Feature,teater,1667,0,0,
nákončí,mordant,Artefact,amcr,HES-000668,0,0,
nákrčník,neck ring,Artefact,amcr,HES-000665,0,0,
nánožník,anklet,Artefact,amcr,HES-000836,0,0,
nápažník,armlet,Artefact,amcr,HES-000812,0,0,
nápoj,drink,Artefact,teater,2423,0,0,
náprsník,breastplate,Artefact,teater,2015,0,0,
náprstek,thimble,Artefact,amcr,HES-000805,0,0,
náramek,bracelet,Artefact,amcr,HES-000666,0,0,
násep,bank,Feature,amcr,HES-000456,0,0,
násyp,bank,Feature,teater,1753,0,0,
náušnice,earring,Artefact,amcr,HES-000667,0,0,
nářadí,hand tool,Artefact,teater,2122,0,0,
nýt,rivet,Artefact,teater,2343,0,0,
nůž,knife,Artefact,amcr,HES-000806,0,0,
nůžky,scissors,Artefact,amcr,HES-000807,0,0,
obilky/semena,caryopses/seeds,Material,amcr,HES-000914,0,0,
obilnice,granary,Feature,teater,1779,0,0,
obilniny,cereals,Artefact,teater,1926,0,0,
obolos,Obolos,Artefact,teater,2289,0,0,
obora,game park,Activity Area,amcr,HES-000037,0,0,
obsidián,obsidian,Material,teater,2509,0,0,
obuv,footwear,Artefact,amcr,HES-000735,0,0,
obval,spoil bank,Feature,amcr,HES-000561,0,0,
obývání,residential activity,Activity Area,amcr,HES-000001,0,0,
obětiště,sacrifice site,Activity Area,teater,1348,0,0,
ocílka,firesteel,Artefact,teater,2125,0,0,
odlitek,casting,Methods,teater,200,0,0,
odpad,waste,Artefact,amcr,HES-000778,0,0,
odval,spoil tip,Feature,teater,1741,0,0,
oděv,clothing,Artefact,teater,2167,0,0,
ohrazení/fortifikace,enclosure/fortification,Feature,amcr,HES-000527,0,0,
oinochoé,oenochoe,Artefact,teater,2061,0,0,
oldovan,Oldowan,Chronology,teater,1079,0,0,
olej,oils,Artefact,teater,2424,0,0,
olivy,olive,Artefact,teater,2425,0,0,
olovo,lead,Material,amcr,HES-000915,0,0,
oltář,altar,Feature,amcr,HES-000501,0,0,
omítka,plaster,Artefact,amcr,HES-000739,0,0,
onager,onager,Artefact,teater,1984,0,0,
opasek,belt,Artefact,amcr,HES-000676,0,0,
opisthodomos,opisthodomos,Feature,teater,1728,0,0,
opál,opal,Material,teater,2510,0,0,
oradlo,ard,Artefact,teater,2159,0,0,
orba,plowing,Feature,teater,1615,0,0,
orchéstra,orchestra,Feature,teater,1487,0,0,
ornament,ornament,Artefact,teater,1877,0,0,
ornamentika,ornamentation,Artefact,teater,1876,0,0,
ortofotomapa,orthophotomap,Methods,teater,125,0,0,
osteozoologie,osteozoology,Methods,amcr,HES-001440,0,0,
ostruha,spur,Artefact,amcr,HES-000787,0,0,
ostění,jamb,Artefact,amcr,HES-000710,0,0,
osvětlování,light source,Artefact,teater,2128,0,0,
otloukač,hammerstone,Artefact,amcr,HES-000656,0,0,
oves,oats,Artefact,teater,1929,0,0,
palaistra,palaestra,Feature,teater,1547,0,0,
palcát,mace (palcát),Artefact,teater,2002,0,0,
paleogén,palaeogene,Chronology,teater,1057,0,0,
paleoklimatologie,paleoclimatology,Methods,amcr,HES-001445,0,0,
paleolit,Palaeolithic,Chronology,amcr,HES-000253,0,0,
paleolit-mezolit,Palaeolithic-Mesolithic,Chronology,teater,1073,0,0,
paleolit–mezolit,Palaeolithic–Mesolithic,Chronology,amcr,HES-000284,0,0,
palice,club,Artefact,teater,2129,0,0,
palisáda,palisade,Feature,amcr,HES-000507,0,0,
palla,palla,Artefact,teater,2174,0,0,
palladium,palladium,Artefact,teater,1893,0,0,
palmeta,palmette,Artefact,teater,1878,0,0,
paludamentum,paludamentum,Artefact,teater,2175,0,0,
palynologie,palynology,Methods,amcr,HES-000625,0,0,
památkář,preservationist,Location & Admin,teater,267,0,0,
památkářka,woman preservationist,Location & Admin,teater,268,0,0,
památník,Album Amicorum,Artefact,teater,3735,0,0,
pancíř,cuirass,Artefact,teater,2016,0,0,
papyrus,papyrus,Material,teater,2530,0,0,
papír,paper,Material,amcr,HES-000917,0,0,
park,park,Activity Area,amcr,HES-000059,0,0,
parkán,zwinger,Feature,teater,1634,0,0,
parodos,parodos,Feature,teater,1592,0,0,
paroh,antler,Material,amcr,HES-000918,0,0,
parva,parvus,Artefact,teater,2290,0,0,
pasionál,passional,Artefact,teater,2233,0,0,
pasquino,pasquino,Artefact,teater,1894,0,0,
pastvina,pasture,Activity Area,teater,1295,0,0,
pastvina/louka,pasture/meadow,Activity Area,amcr,HES-000038,0,0,
pavlovien,pavlovian,Chronology,teater,1091,0,0,
pecka,fruit stone,Material,amcr,HES-000919,0,0,
pedologie,pedology,Methods,amcr,HES-000627,0,0,
pekárna,bakery,Feature,teater,1548,0,0,
pekáč,baking pan,Artefact,amcr,HES-000761,0,0,
peliké,pelike,Artefact,teater,2063,0,0,
peplos,peplos,Artefact,teater,2176,0,0,
pergamen,parchment,Material,teater,2531,0,0,
peribolos,peribolos,Activity Area,teater,1315,0,0,
peripteros,peripteros,Activity Area,teater,1316,0,0,
peristyl,peristyle,Feature,teater,1593,0,0,
perla,pearl,Material,amcr,HES-000920,0,0,
perleť/mušle,nacre/shell,Material,amcr,HES-000941,0,0,
petasos,petasos,Artefact,teater,2177,0,0,
petrografie/mineralogie,petrography,Methods,amcr,HES-000628,0,0,
pevnost,fortress,Activity Area,amcr,HES-000043,0,0,
pila,saw,Artefact,amcr,HES-000657,0,0,
pileus,pileus,Artefact,teater,2178,0,0,
pilník,file,Artefact,amcr,HES-000800,0,0,
