cs,en,facet,source,source_id,doc_count,occurrences,example_lines
výkop,cut,Feature,amcr,HES-000489,5,9,CTX193001369 p5 l22: Zprávu o výkopu viz v č.j . 560/39. .; CTX193001369 p5 l44: '' I Správu o výkopu viz v č.j. 560/29. • *; CTX196300443 p1 l23: kv zavádí k nežádoucím drobným výkopům. Ústavní depositum /Srby/ shledáno
sídliště,settlement,Activity Area,amcr,HES-000081,2,8,"CTX196300443 p1 l14: eneolitických výšinných sídlištích na Blovicku v poříčí Úslavy.; CTX196300443 p1 l26: Bzí - drobné nálezy z eneol. výšinnéhoj sídliště . _; CTX196300443 p1 l27: větší soubor z eneol.výš.sídliště - publ. Masek,AR IV 1962"
malta,mortar,Material,amcr,HES-000910,2,7,"CTX198402945 p1 l26: z lomového zdivá nasucho a jen místy na maltu, ve spodní části; CTX199603106 p3 l3: charakteru s příměsí malty a úlomků opuky a cihel, ani ä v ní byly; CTX199603106 p3 l6: nevelkých rozměrů, spojovaných vápennou maltou z hrubého říčního"
most,bridge,Feature,amcr,HES-000523,1,7,CTX199603106 p2 l4: mostu uvádí domek mosteckého celného v letech 1406 - 1430.; CTX199603106 p2 l17: tzv. lagunou jižně od Karlova mostu. Při této příležitosti bylo; CTX199603106 p2 l20: mostu od staroměstského břehu. Ze zdivá byla v inkriminované
zeď,wall,Feature,teater,1642,1,7,"CTX199603106 p2 l24: formátu 30 x 14 x 6,5 cm. Před snižováním úrovně byla líc zdi; CTX199603106 p3 l5: k východní zdi místnosti byla vyaděna výlučně z lomové opuky; CTX199603106 p4 l2: hmota zdivá ukončena lícem, pouze v severní zdi stávajícího sklepa"
hlína,clay,Material,amcr,HES-000925,3,6,"CTX192100040 p3 l5: celé hlínou pomazané.Byly pa sobě složeny, takže jsem je musel jen nehtem; CTX193001369 p2 l27: dé hlíny. Rozměry ; v- 144 mm, pr. okraje - 125 mm, pr. dna 65mm:; CTX193001369 p3 l22: břicha jest zaoblený lom. Vyroben jest z jemné tmavěšedé hlíny."
muzeum,museum,Location & Admin,amcr,HES-001127,3,6,"CTX196006127 p1 l37: Dno 20. dubna l%0 jsem na výsva správee 6kresního muzea v Blovi-; CTX196300443 p1 l10: Zpráva o archeologické sbírce Vlastivědného muzea v Blovicích,; CTX196300443 p1 l13: ze sběří ředitele muzea Škrabka a spolupracovníka J.sýkory na nově objevených"
sklep,cellar,Feature,amcr,HES-000488,1,6,"CTX199603106 p3 l26: východním prostoru sklepa rovně zasáhly pod úroveň podlahy, i když; CTX199603106 p3 l28: části severní stěny a podél dodatečné příčky ve sklepě prostoru; CTX199603106 p3 l30: složení jako v západní partií sklepa. V žádné z obou částí nebyla"
vesnice,village,Activity Area,teater,1455,4,6,"CTX192100040 p3 l16: vesnice "" Holonohy * v první polovici 14. století' zašlá str.154 ./.la str.253; CTX192100040 p3 l23: dle lidového podání vesnice ta byla úplně zničena,byly peníze ty zakopány do; CTX192100040 p8 l30: Týž pátrá nyní na výše uvedené louce po předhistorické vesnici"
kost,single bone,Artefact,amcr,HES-000753,2,5,"CTX193001369 p6 l3: pouze několik kostí, z milodarů 2 nádoby. Jeden hrnek byl přes noc ukraden,; CTX193001369 p7 l2: a na něm v malé jamce spálené lidské kosti. Hrob byl uložen mělko - pouze v; CTX193001369 p8 l1: Hrob XIII. Hrob nalezen dělníky ve hloubce 20 - 30 cm , kosti prý nebyly"
