cs,en,source,source_id,scheme,sub,theme,placed_by,same_as_count
hamr,hammer mill,amcr,HES-000545,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
hať,corduroy road,amcr,HES-000521,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
hliník,clay pit,amcr,HES-000512,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
hradba,defensive wall,amcr,HES-000530,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
hrob,grave,amcr,HES-000427,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
hrob komorový,chamber grave,amcr,HES-000428,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
hrob skříňkový,cist grave,amcr,HES-000429,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
hrobka,tomb,amcr,HES-000430,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
hráz,embankment/dam,amcr,HES-000493,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
inženýrské sítě,utilities,amcr,HES-000515,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
jeskyně/skalní prostor,cave/abri,amcr,HES-000472,objekt_druh,druh objektu,Feature,heslar:objekt_druh,1
jáma,pit,amcr,HES-000441,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
jáma kůlová/sloupová,stakehole/posthole,amcr,HES-000442,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
jáma odpadní/jímka,waste pit/cesspit,amcr,HES-000446,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
jáma stavební,construction pit,amcr,HES-000443,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
jáma zásobní,storage pit,amcr,HES-000444,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
kamna,stove,amcr,HES-000422,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
kanalizace,sewer,amcr,HES-000464,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
kaple,chapel,amcr,HES-000020,areal,areál aktivity,Feature,override:amcr:HES-000020,0
kašna,fountain,amcr,HES-000479,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
klenba,vaults,amcr,HES-000495,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
kolektor,collector,amcr,HES-000516,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
konstrukční prvek,architectural element,amcr,HES-000491,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
kostel,church,amcr,HES-000021,areal,areál aktivity,Feature,override:amcr:HES-000021,0
kostnice,ossuary,amcr,HES-000432,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
kovárna,blacksmith,amcr,HES-000546,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
kovářská výheň,forge,amcr,HES-000557,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
kultovní/sakrální objekt,ritual/sacral feature,amcr,HES-000525,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
křtitelnice,baptismal font,amcr,HES-000499,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
kůl/sloup,stake/post,amcr,HES-000447,objekt_druh,druh objektu,Feature,heslar:objekt_druh,2
lineární převýšený útvar,linear mound,amcr,HES-000538,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
lineární zahloubený útvar,linear depression,amcr,HES-000539,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
loch,larder (cellar),amcr,HES-000487,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
malba/freska,painting/fresco,amcr,HES-000540,objekt_druh,druh objektu,Feature,heslar:objekt_druh,2
menhir,menhir,amcr,HES-000500,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
mezní pás,field boundary,amcr,HES-000503,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
mezník/patník,milestone/boundary stone,amcr,HES-000522,objekt_druh,druh objektu,Feature,heslar:objekt_druh,1
milíř,charcoal kiln,amcr,HES-000554,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
mlýn,mill,amcr,HES-000028,areal,areál aktivity,Feature,override:amcr:HES-000028,0
mohyla,burial mound,amcr,HES-000431,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
most,bridge,amcr,HES-000523,objekt_druh,druh objektu,Feature,heslar:objekt_druh,1
motte,motte,amcr,HES-000531,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
místo těžby,extracting place,amcr,HES-000559,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
místo výroby,production place,amcr,HES-000544,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
místo zpracování,processing place,amcr,HES-000543,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
navážka,backfill,amcr,HES-000457,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
neklidný terén,uneven surface,amcr,HES-000568,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
nespecifikovaný reliéfní útvar,unspecified terrain feature,amcr,HES-000567,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
nika,niche,amcr,HES-000448,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
náhon,millrace,amcr,HES-000513,objekt_druh,druh objektu,Feature,heslar:objekt_druh,1
náhrobek/náhrobní kámen,gravestone,amcr,HES-000433,objekt_druh,druh objektu,Feature,heslar:objekt_druh,1
násep,bank,amcr,HES-000456,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
objekt/stopa výroby,production feature/trace,amcr,HES-000578,objekt_druh_kat,druh objektu (kategorie),Feature,heslar:objekt_druh_kat,0
obval,spoil bank,amcr,HES-000561,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
odpadní vrstva/souvrství,waste layer/sequence,amcr,HES-000458,objekt_druh,druh objektu,Feature,heslar:objekt_druh,1
ohniště,fireplace,amcr,HES-000423,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
ohradní zeď/plot,wall/fence,amcr,HES-000532,objekt_druh,druh objektu,Feature,heslar:objekt_druh,1
ohrazení/fortifikace,enclosure/fortification,amcr,HES-000527,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
oltář,altar,amcr,HES-000501,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
otopná pec,oven,amcr,HES-000424,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
otopné zařízení,heating equipment,amcr,HES-000421,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
palebné postavení,gun emplacement,amcr,HES-000506,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
palisáda,palisade,amcr,HES-000507,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
palác,palace,amcr,HES-000481,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
parkánová hradba,zwinger wall,amcr,HES-000533,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
pec,kiln,amcr,HES-000477,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
pec chlebová,bake oven,amcr,HES-000552,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
pec cihlářská,brick oven,amcr,HES-000548,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
pec dehtářská,tar pit,amcr,HES-000549,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
pec hrnčířská,pottery kiln,amcr,HES-000550,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
pec hutnická,iron-smelting furnace,amcr,HES-000551,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
pec kovolitecká,foundry,amcr,HES-000553,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
pec sklářská,glass furnace,amcr,HES-000555,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
pec vápenická,lime kiln,amcr,HES-000556,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
pilota,pier,amcr,HES-000450,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
pilíř,pillar,amcr,HES-000449,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
pinka,binge,amcr,HES-000562,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
plošina,platform,amcr,HES-000569,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
plužina,field system,amcr,HES-000504,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
podlaha (konstrukce),floor (construction),amcr,HES-000451,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
podlaha (vrstva/souvrství),floor layer/sequence,amcr,HES-000459,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
pohřeb kostrový,inhumation burial,amcr,HES-000434,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
pohřeb v sídlištním objektu,burial in settlement context,amcr,HES-000437,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
pohřeb zvířete,animal burial,amcr,HES-000436,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
pohřeb žárový,cremation burial,amcr,HES-000435,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
pohřební objekt,funerary structure,amcr,HES-000426,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
pramen,spring,amcr,HES-000473,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
pyrotechnologické zařízení,pyrotechnological device,amcr,HES-000476,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
převýšená plocha,mound,amcr,HES-000536,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
příkop,moat,amcr,HES-000508,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
rybník/nádrž,pond/water tank,amcr,HES-000505,objekt_druh,druh objektu,Feature,heslar:objekt_druh,2
schodiště,staircase,amcr,HES-000452,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
sejp/halda,spoil heap,amcr,HES-000563,objekt_druh,druh objektu,Feature,heslar:objekt_druh,1
skalní rytina,rock carving,amcr,HES-000541,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
sklep,cellar,amcr,HES-000488,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
smírčí kříž,wayside cross,amcr,HES-000502,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
součást komunikace,transportation structure,amcr,HES-000519,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
splach/naplavenina,colluvial/alluvial layer,amcr,HES-000461,objekt_druh,druh objektu,Feature,heslar:objekt_druh,1
stodola,barn,amcr,HES-000483,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
stopy orby,plough marks,amcr,HES-000467,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
studna,water well,amcr,HES-000514,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
stáj/chlév,stable/cowshed,amcr,HES-000482,objekt_druh,druh objektu,Feature,heslar:objekt_druh,2
stéla,stela,amcr,HES-000469,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
sídlištní vrstva/souvrství,settlement layer/sequence,amcr,HES-000460,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
sýpka/špýchar,granary/storehouse,amcr,HES-000484,objekt_druh,druh objektu,Feature,heslar:objekt_druh,2
terénní hrana,terrain edge,amcr,HES-000570,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
topný kanál,heating channel,amcr,HES-000425,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
trativod,drainage,amcr,HES-000517,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
těžební jáma,mining pit,amcr,HES-000566,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
těžební objekt,mining feature,amcr,HES-000558,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
val,rampart,amcr,HES-000534,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
vodoteč,riverine water bodies,amcr,HES-000474,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
vodovod,water supply pipe,amcr,HES-000518,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
vrstva/souvrství,layer/layer sequence,amcr,HES-000453,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
vápenická jáma,lime pit,amcr,HES-000547,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
výkop,cut,amcr,HES-000489,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
výplň/zásyp,fill/deposit,amcr,HES-000462,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
výrobní objekt,production feature,amcr,HES-000542,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
vývrat,windthrow,amcr,HES-000475,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
věž,tower,amcr,HES-000509,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
věžice,half tower,amcr,HES-000510,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
zahloubená plocha,depression,amcr,HES-000537,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
zahloubený objekt,sunken feature,amcr,HES-000486,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
zemědělský objekt,agricultural structure,amcr,HES-000466,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
zvonice,bell tower,amcr,HES-000485,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
základy,foundations,amcr,HES-000498,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
zákop,trench,amcr,HES-000535,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
úvoz,hollow way,amcr,HES-000524,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
šachta,shaft,amcr,HES-000564,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
šibenice,gallows,amcr,HES-000511,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
štola,adit,amcr,HES-000565,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
žlab,ditch,amcr,HES-000490,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
žároviště,burned layer,amcr,HES-000463,objekt_druh,druh objektu,Feature,heslar:objekt_druh,0
budova,building,amcr,HES-000250,nalezove_okolnosti,nálezové okolnosti,Finds Context,heslar:nalezove_okolnosti,1
jiný kontext,other context,amcr,HES-000251,nalezove_okolnosti,nálezové okolnosti,Finds Context,heslar:nalezove_okolnosti,0
kulturní vrstva/objekt,cultural layer/feature,amcr,HES-000247,nalezove_okolnosti,nálezové okolnosti,Finds Context,heslar:nalezove_okolnosti,1
lesní hrabanka,woodland topsoil,amcr,HES-000245,nalezove_okolnosti,nálezové okolnosti,Finds Context,heslar:nalezove_okolnosti,0
ornice,arable topsoil,amcr,HES-000243,nalezove_okolnosti,nálezové okolnosti,Finds Context,heslar:nalezove_okolnosti,0
podorničí/podloží,subsoil,amcr,HES-000248,nalezove_okolnosti,nálezové okolnosti,Finds Context,heslar:nalezove_okolnosti,0
povrch,surface,amcr,HES-000242,nalezove_okolnosti,nálezové okolnosti,Finds Context,heslar:nalezove_okolnosti,0
přirozený půdní horizont,natural topsoil,amcr,HES-000246,nalezove_okolnosti,nálezové okolnosti,Finds Context,heslar:nalezove_okolnosti,0
přírodní útvar,natural landform,amcr,HES-000470,objekt_druh,druh objektu,Finds Context,override:amcr:HES-000470,0
vodní plocha/tok,water body/stream,amcr,HES-000249,nalezove_okolnosti,nálezové okolnosti,Finds Context,heslar:nalezove_okolnosti,0
bez ochrany,unprotected,amcr,HES-000175,pamatkova_ochrana,památková ochrana,Location & Admin,heslar:pamatkova_ochrana,0
historická budova/komplex,historical building/complex,amcr,HES-001457,stav_dochovani,stav dochování lokality,Location & Admin,heslar:stav_dochovani,0
jiná organizace,other organisation,amcr,HES-001128,organizace_typ,typ organizace,Location & Admin,heslar:organizace_typ,0
jiná událost,other event,amcr,HES-001156,udalost_typ,typ události,Location & Admin,heslar:udalost_typ,0
konference,conference,amcr,HES-001152,udalost_typ,typ události,Location & Admin,heslar:udalost_typ,0
kulturní památka,listed monument,amcr,HES-000177,pamatkova_ochrana,památková ochrana,Location & Admin,heslar:pamatkova_ochrana,0
lokalita pod zástavbou,site in built environment,amcr,HES-001454,stav_dochovani,stav dochování lokality,Location & Admin,heslar:stav_dochovani,0
muzeum,museum,amcr,HES-001127,organizace_typ,typ organizace,Location & Admin,heslar:organizace_typ,1
nadzemní relikty,aboveground remains,amcr,HES-001455,stav_dochovani,stav dochování lokality,Location & Admin,heslar:stav_dochovani,0
národní kulturní památka,listed national monument,amcr,HES-000178,pamatkova_ochrana,památková ochrana,Location & Admin,heslar:pamatkova_ochrana,0
památková rezervace,heritage reserve,amcr,HES-000180,pamatkova_ochrana,památková ochrana,Location & Admin,heslar:pamatkova_ochrana,0
památková zóna,heritage zone,amcr,HES-000179,pamatkova_ochrana,památková ochrana,Location & Admin,heslar:pamatkova_ochrana,0
ruina,ruin,amcr,HES-001456,stav_dochovani,stav dochování lokality,Location & Admin,heslar:stav_dochovani,0
společenská akce,social event,amcr,HES-001155,udalost_typ,typ události,Location & Admin,heslar:udalost_typ,0
terénní pracoviště,fieldwork unit,amcr,HES-001129,organizace_typ,typ organizace,Location & Admin,heslar:organizace_typ,0
univerzita,university,amcr,HES-001132,organizace_typ,typ organizace,Location & Admin,heslar:organizace_typ,0
výzkumná instituce,research organisation,amcr,HES-001131,organizace_typ,typ organizace,Location & Admin,heslar:organizace_typ,0
zahraniční cesta,travel abroad,amcr,HES-001153,udalost_typ,typ události,Location & Admin,heslar:udalost_typ,0
zahraniční výzkum,fieldwork abroad,amcr,HES-001154,udalost_typ,typ události,Location & Admin,heslar:udalost_typ,0
zaniklá lokalita,buried site,amcr,HES-001453,stav_dochovani,stav dochování lokality,Location & Admin,heslar:stav_dochovani,0
ústav památkové péče,heritage organisation,amcr,HES-001130,organizace_typ,typ organizace,Location & Admin,heslar:organizace_typ,0
barvivo,colourant,amcr,HES-000903,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
bronz,bronze,amcr,HES-000904,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
cín,tin,amcr,HES-000921,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
dehet,tar,amcr,HES-000922,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
dřevo,wood,amcr,HES-000923,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
grafit,graphite,amcr,HES-000924,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
hlína,clay,amcr,HES-000925,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
jantar,amber,amcr,HES-000926,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
jiný materiál,other material,amcr,HES-001027,predmet_specifikace,specifikace předmětu,Material,heslar:predmet_specifikace,0
keramika,ceramic,amcr,HES-000933,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
keramika fajáns/majolika,faience/maiolica,amcr,HES-000934,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,1
keramika kamenina,stoneware,amcr,HES-000935,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
keramika porcelán,porcelain,amcr,HES-000936,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
keramika terra sigillata,terra sigillata ware,amcr,HES-000937,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
konstrukce cihlová,brick structure,amcr,HES-000894,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
konstrukce dlaždicová,tiled structure,amcr,HES-000895,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
konstrukce dřevěná,wooden structure,amcr,HES-000897,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
konstrukce hrázděná,half-timber construction,amcr,HES-000900,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
konstrukce kamenná,stonework,amcr,HES-000896,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
konstrukce kůlová/sloupová,post-and-beam structure,amcr,HES-000898,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
konstrukce roubená,log construction,amcr,HES-000899,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
konstrukce sypaná/vršená,earth construction,amcr,HES-000901,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
konstrukce zahloubená,sunken structure,amcr,HES-000902,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
konstrukce zděná,masonry construction,amcr,HES-000893,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
korál,coral,amcr,HES-000938,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
kost lidská,human bone,amcr,HES-000905,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
kost zvířecí,animal bone,amcr,HES-000906,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
kov,metal,amcr,HES-000907,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
kov barevný,nonferrous metal,amcr,HES-000908,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
kámen,stone,amcr,HES-000927,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
kámen broušený,polished stone,amcr,HES-000928,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
kámen drahý,gemstone,amcr,HES-000929,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
kámen drtidlo/žernov,grinding stone,amcr,HES-000930,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,1
kámen stavební,building stone,amcr,HES-000931,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
kámen štípaný,lithics,amcr,HES-000932,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
kůra,bark,amcr,HES-000940,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
kůže,leather,amcr,HES-000909,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
malta,mortar,amcr,HES-000910,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
mazanice,daub,amcr,HES-000911,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
mosaz,brass,amcr,HES-000913,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
měď,copper,amcr,HES-000912,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
obilky/semena,caryopses/seeds,amcr,HES-000914,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
olovo,lead,amcr,HES-000915,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
papír,paper,amcr,HES-000917,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
paroh,antler,amcr,HES-000918,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
pecka,fruit stone,amcr,HES-000919,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
perla,pearl,amcr,HES-000920,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
perleť/mušle,nacre/shell,amcr,HES-000941,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
plast,plastic,amcr,HES-000942,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
proutí,wattle,amcr,HES-000943,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
pryskyřice,resin,amcr,HES-000944,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
pyl,polen,amcr,HES-001007,predmet_specifikace,specifikace předmětu,Material,heslar:predmet_specifikace,0
roh,horn,amcr,HES-000945,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
schránky měkkýšů,mollusc shell,amcr,HES-000946,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
sklo,glass,amcr,HES-000947,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
slonovina/mamutovina,ivory,amcr,HES-000948,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,2
spondylus,spondylus,amcr,HES-000949,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
stříbro,silver,amcr,HES-000950,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
textil,textile,amcr,HES-000952,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
uhlí,coal,amcr,HES-000953,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
uhlí dřevěné,charcoal,amcr,HES-000954,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
vosk,wax,amcr,HES-000957,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
vápno,quicklime,amcr,HES-000955,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
zlato,gold,amcr,HES-000958,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
zub lidský,human tooth,amcr,HES-000960,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
zub zvířecí,animal tooth,amcr,HES-000961,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
švartna,sapropel,amcr,HES-000951,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
železo,iron,amcr,HES-000962,objekt_specifikace,specifikace objektu,Material,heslar:objekt_specifikace,0
absolutní datování,absolute dating,amcr,HES-000634,posudek_typ,posudek,Methods,heslar:posudek_typ,0
analýza stabilních izotopů,stable isotope analysis,amcr,HES-000618,posudek_typ,posudek,Methods,heslar:posudek_typ,0
antrakologie/xylotomie,anthracology/xylotomy,amcr,HES-000604,posudek_typ,posudek,Methods,heslar:posudek_typ,0
archeoentomologie,archeoentomology,amcr,HES-000624,posudek_typ,posudek,Methods,heslar:posudek_typ,0
archeogenetika,archaeogenetics,amcr,HES-000606,posudek_typ,posudek,Methods,heslar:posudek_typ,0
archeomalakologie,archeomalacology,amcr,HES-000621,posudek_typ,posudek,Methods,heslar:posudek_typ,0
archeoparazitologie,archeoparasitology,amcr,HES-000626,posudek_typ,posudek,Methods,heslar:posudek_typ,0
archeozoologie,archaeozoology,amcr,HES-000607,posudek_typ,posudek,Methods,heslar:posudek_typ,0
badatelský záměr,research project,amcr,HES-000595,adb_podnet,podnět,Methods,heslar:adb_podnet,0
bez okolností,unknown context,amcr,HES-001062,akce_typ,typ akce,Methods,heslar:akce_typ,0
bioarcheologie,bioarchaeology,amcr,HES-001439,posudek_typ,posudek,Methods,heslar:posudek_typ,0
biologická antropologie,biological anthropology,amcr,HES-000605,posudek_typ,posudek,Methods,heslar:posudek_typ,0
chemická analýza,chemical analysis,amcr,HES-000617,posudek_typ,posudek,Methods,heslar:posudek_typ,0
dendrochronologie,dendrochronology,amcr,HES-000609,posudek_typ,posudek,Methods,heslar:posudek_typ,0
diatomární analýza,diatomic analysis,amcr,HES-000610,posudek_typ,posudek,Methods,heslar:posudek_typ,0
environmentální vzorek,environmental sampling,amcr,HES-001060,akce_typ,typ akce,Methods,heslar:akce_typ,0
experimentální archeologie,experimental archaeology,amcr,HES-001446,posudek_typ,posudek,Methods,heslar:posudek_typ,0
expertní analýza,expert analysis,amcr,HES-000619,posudek_typ,posudek,Methods,heslar:posudek_typ,0
fytolitová analýza,phytological analysis,amcr,HES-000612,posudek_typ,posudek,Methods,heslar:posudek_typ,0
geoarcheologie,geoarchaeology,amcr,HES-000613,posudek_typ,posudek,Methods,heslar:posudek_typ,0
geochemický průzkum,geochemical survey,amcr,HES-001047,akce_typ,typ akce,Methods,heslar:akce_typ,0
geochemie,geochemistry,amcr,HES-000615,posudek_typ,posudek,Methods,heslar:posudek_typ,0
geochronologie,geochronology,amcr,HES-001442,posudek_typ,posudek,Methods,heslar:posudek_typ,0
geodetický průzkum,geodetic survey,amcr,HES-001141,adb_typ,typ sondy,Methods,heslar:adb_typ,1
geofyzika,geophysics,amcr,HES-000614,posudek_typ,posudek,Methods,heslar:posudek_typ,0
