cs,en,source,source_id,scheme,sub,theme,placed_by,same_as_count
nález v druhotné poloze,find in secondary context,amcr,HES-000061,areal,areál aktivity,Activity Area,heslar:areal,0
obora,game park,amcr,HES-000037,areal,areál aktivity,Activity Area,heslar:areal,0
obývání,residential activity,amcr,HES-000001,aktivita,aktivita,Activity Area,heslar:aktivita,0
ojedinělý nález,single find,amcr,HES-000062,areal,areál aktivity,Activity Area,heslar:areal,0
osídlený skalní prostor,cave settlement,amcr,HES-000065,areal,areál aktivity,Activity Area,heslar:areal,0
park,park,amcr,HES-000059,areal,areál aktivity,Activity Area,heslar:areal,0
pastvina/louka,pasture/meadow,amcr,HES-000038,areal,areál aktivity,Activity Area,heslar:areal,1
pevnost,fortress,amcr,HES-000043,areal,areál aktivity,Activity Area,heslar:areal,0
pivovar,brewery,amcr,HES-000080,areal,areál aktivity,Activity Area,heslar:areal,0
pohřbívání,burial activity,amcr,HES-000002,aktivita,aktivita,Activity Area,heslar:aktivita,0
pohřebiště v sakrální stavbě,burials in sacral building,amcr,HES-000077,areal,areál aktivity,Activity Area,heslar:areal,0
pohřebiště/hřbitov,cemetery/graveyard,amcr,HES-000027,areal,areál aktivity,Activity Area,heslar:areal,2
pohřební areál,burial site,amcr,HES-000025,areal,areál aktivity,Activity Area,heslar:areal,0
pole,cropland,amcr,HES-000039,areal,areál aktivity,Activity Area,heslar:areal,0
polní opevnění,field fortification,amcr,HES-000044,areal,areál aktivity,Activity Area,heslar:areal,0
polygon archeologického průzkumu,archaeological survey polygon,amcr,HES-000132,lokalita_druh_kat,druh lokality (kategorie),Activity Area,heslar:lokalita_druh_kat,0
polygon leteckého průzkumu,aerial survey polygon,amcr,HES-000111,lokalita_druh,druh lokality,Activity Area,heslar:lokalita_druh,0
polygon průzkumu,survey polygon,amcr,HES-001123,lokalita_typ,typ lokality,Activity Area,heslar:lokalita_typ,0
pomník/památník,memorial,amcr,HES-000128,lokalita_druh,druh lokality,Activity Area,heslar:lokalita_druh,1
popraviště,execution site,amcr,HES-000058,areal,areál aktivity,Activity Area,heslar:areal,0
pozůstatek komunikace,remains of transportation structure,amcr,HES-001429,lokalita_druh,druh lokality,Activity Area,heslar:lokalita_druh,0
pozůstatek kultu,remains of ritual site,amcr,HES-001433,lokalita_druh,druh lokality,Activity Area,heslar:lokalita_druh,0
pozůstatek mohylníku,remains of burial mounds,amcr,HES-001430,lokalita_druh,druh lokality,Activity Area,heslar:lokalita_druh,0
pozůstatek ohrazení,remains of enclosure,amcr,HES-001431,lokalita_druh,druh lokality,Activity Area,heslar:lokalita_druh,0
pozůstatek represe,remains of repression site,amcr,HES-001432,lokalita_druh,druh lokality,Activity Area,heslar:lokalita_druh,0
pozůstatek sídla elity,remains of manorial site,amcr,HES-001434,lokalita_druh,druh lokality,Activity Area,heslar:lokalita_druh,0
pozůstatek sídliště,remains of settlement,amcr,HES-001435,lokalita_druh,druh lokality,Activity Area,heslar:lokalita_druh,0
pozůstatek těžby,remains of extraction site,amcr,HES-001436,lokalita_druh,druh lokality,Activity Area,heslar:lokalita_druh,0
pozůstatek vojenství,remains of military site,amcr,HES-001437,lokalita_druh,druh lokality,Activity Area,heslar:lokalita_druh,0
pozůstatek výroby,remains of production site,amcr,HES-001438,lokalita_druh,druh lokality,Activity Area,heslar:lokalita_druh,0
protourbánní aglomerace,proto-urban agglomeration,amcr,HES-000075,areal,areál aktivity,Activity Area,heslar:areal,0
předměstí,suburb,amcr,HES-000076,areal,areál aktivity,Activity Area,heslar:areal,0
přehrada,dam,amcr,HES-000054,areal,areál aktivity,Activity Area,heslar:areal,0
přírodní útvar s lidskou aktivitou,inhabited natural landform,amcr,HES-000133,lokalita_druh_kat,druh lokality (kategorie),Activity Area,heslar:lokalita_druh_kat,0
rondel/rondeloid,roundel/rondeloid,amcr,HES-000012,areal,areál aktivity,Activity Area,heslar:areal,1
rybník,pond,amcr,HES-000055,areal,areál aktivity,Activity Area,heslar:areal,1
rýžoviště,panning site,amcr,HES-000035,areal,areál aktivity,Activity Area,heslar:areal,0
samostatná usedlost,individual homestead,amcr,HES-000067,areal,areál aktivity,Activity Area,heslar:areal,0
sklárna,glassworks,amcr,HES-000030,areal,areál aktivity,Activity Area,heslar:areal,0
stanice/tábořiště,camp,amcr,HES-000066,areal,areál aktivity,Activity Area,heslar:areal,2
strážnice/předsunutá bašta,outpost/watchtower,amcr,HES-000045,areal,areál aktivity,Activity Area,heslar:areal,0
synagoga,synagogue,amcr,HES-000024,areal,areál aktivity,Activity Area,heslar:areal,0
sídliště,settlement,amcr,HES-000081,areal,areál aktivity,Activity Area,heslar:areal,0
sídliště specializované komunity,special-community settlement,amcr,HES-000070,areal,areál aktivity,Activity Area,heslar:areal,0
sídlo elity,elite settlement,amcr,HES-000013,areal,areál aktivity,Activity Area,heslar:areal,0
tvrz/hrádek,fortified manor,amcr,HES-000017,areal,areál aktivity,Activity Area,heslar:areal,2
těžba,mining activity,amcr,HES-000004,aktivita,aktivita,Activity Area,heslar:aktivita,0
vesnice/městečko,village/town,amcr,HES-000068,areal,areál aktivity,Activity Area,heslar:areal,2
vodní dílo,hydraulic structure,amcr,HES-000082,areal,areál aktivity,Activity Area,heslar:areal,0
vojenský tábor,military camp,amcr,HES-000046,areal,areál aktivity,Activity Area,heslar:areal,0
výroba,production activity,amcr,HES-000003,aktivita,aktivita,Activity Area,heslar:aktivita,0
výšinné sídliště,hill settlement,amcr,HES-000069,areal,areál aktivity,Activity Area,heslar:areal,0
zahrada,garden,amcr,HES-000526,objekt_druh,druh objektu,Activity Area,override:amcr:HES-000526,1
zahrada/sad,garden,amcr,HES-000040,areal,areál aktivity,Activity Area,heslar:areal,2
zaniklý/historický areál,deserted/historical site,amcr,HES-000134,lokalita_druh_kat,druh lokality (kategorie),Activity Area,heslar:lokalita_druh_kat,0
zničený prostor,destroyed site,amcr,HES-000063,areal,areál aktivity,Activity Area,heslar:areal,0
zámek/zámeček/vila,chateau/villa,amcr,HES-000018,areal,areál aktivity,Activity Area,heslar:areal,2
železnice,railway,amcr,HES-000050,areal,areál aktivity,Activity Area,heslar:areal,0
železářský areál,iron production site,amcr,HES-000031,areal,areál aktivity,Activity Area,heslar:areal,0
akvamanile,aquamanile,amcr,HES-000651,predmet_druh,druh předmětu,Artefact,heslar:predmet_druh,0
