document_id,keyword1,score1,keyword2,score2,keyword3,score3,keyword4,score4,keyword5,score5,keyword6,score6,keyword7,score7,keyword8,score8,keyword9,score9,keyword10,score10,keyword11,score11,keyword12,score12,keyword13,score13,keyword14,score14,keyword15,score15,keyword16,score16,keyword17,score17,keyword18,score18,keyword19,score19,keyword20,score20
CTX195502975,centimetr,79.0,jamka,67.0,vrstva,61.0,střep,60.0,objekt,59.0,sektor,51.0,jáma,40.0,blok,38.0,kámen,36.0,materiál,30.0,velký,29.0,východ,29.0,malý,27.0,zlomek,25.0,stěna,25.0,kontrolní,25.0,metr,24.0,severovýchodní,24.0,východní,24.0,sever,23.0
CTX195703277,aussig,1.0,kreis,1.0,leitmeritz,1.0,gemarkung,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTX195802832,referentka,5.0,zpráva,4.0,základ,4.0,den,3.0,hrob,3.0,keramika,3.0,místo,3.0,kat,2.0,obec,2.0,bezno,2.0,mladý,2.0,boleslav,2.0,sídliště,2.0,výzkum,2.0,kostrový,2.0,stavba,2.0,kravín,2.0,velký,2.0,ing,2.0,beneš,2.0
CTX195901935,číslo,3.0,čice,2.0,latén,2.0,střep,2.0,patka,2.0,nález,2.0,řado,1.0,okrázek,1.0,kultura,1.0,projektovaný,1.0,uliaa,1.0,pozemek,1.0,fr,1.0,klaana,1.0,ulice,1.0,majitel,1.0,snímání,1.0,ornice,1.0,země,1.0,prou,1.0
CTX196003621,hrob,27.0,kost,12.0,jamkový,12.0,výzkum,11.0,pohřeb,10.0,den,7.0,cihelna,6.0,kostrový,6.0,záchranný,5.0,žel,5.0,milimetr,5.0,kat,4.0,pozemek,4.0,číslo,4.0,stehelčeves,3.0,červenec,3.0,kladno,3.0,bronzový,3.0,hodina,3.0,popelnice,3.0
CTX196201745,nový,4.0,bydžov,4.0,telefon,4.0,číslo,4.0,ústav,3.0,hradec,3.0,králové,3.0,muzeum,3.0,značka,2.0,den,2.0,provedený,2.0,sbírka,2.0,krajský,1.0,vlastivědný,1.0,nábřeží,1.0,protifašistický,1.0,bojovník,1.0,čp,1.0,čaav,1.0,ře,1.0
CTX196305688,výzkum,8.0,archeologický,5.0,areál,4.0,litomyšlský,4.0,pracovní,4.0,ústav,3.0,litomyšl,3.0,rok,3.0,plán,3.0,středověký,3.0,rekonstrukce,3.0,místo,3.0,žádost,2.0,mnv,2.0,zámek,2.0,částka,2.0,sonda,2.0,vlastivědný,2.0,kroužek,2.0,výpomoc,2.0
CTX196607104,důl,2.0,výzkum,2.0,zpráva,2.0,den,2.0,sektor,2.0,fa,2.0,da,2.0,práce,2.0,kat,1.0,obec,1.0,bečov,1.0,osada,1.0,csav,1.0,ústav,1.0,trat,1.0,písečný,1.0,vrch,1.0,vl,1.0,okres,1.0,most,1.0
CTX196901200,střep,7.0,nádoba,6.0,nalezený,4.0,kost,4.0,pole,3.0,mrt,3.0,ornament,3.0,okraj,3.0,nález,3.0,otvor,3.0,tušimice,2.0,spengler,2.0,jo,2.0,hloubka,2.0,kruh,2.0,fragment,2.0,umělecký,2.0,výrobek,2.0,majitel,2.0,strana,2.0
CTX197101853,objekt,4.0,pískovna,3.0,kostra,3.0,další,3.0,vrbice,2.0,litoměřice,2.0,výzkum,2.0,vý,2.0,silnice,2.0,cesta,2.0,keramika,2.0,nález,2.0,kat,1.0,obec,1.0,osada,1.0,traf,1.0,okres,1.0,druh,1.0,hrob,1.0,únětický,1.0
